complainant_id,name,cnic,phone,address
1,Khalid Yousaf,17301-1007919-2,0301-1006271,"House 14, Hayatabad Phase 4, Peshawar"
2,Rashid Ali,17301-1015838-3,0311-1012542,"House 27, University Town, Peshawar"
3,Maryam Iqbal,17301-1023757-4,0312-1018813,"House 40, Gulbahar Colony, Peshawar"
4,Zubair Malik,17301-1031676-5,0333-1025084,"House 53, Regi Model Town, Peshawar"
5,Fawad Hussain,17301-1039595-6,0345-1031355,"House 66, Dalazak Road, Peshawar"
6,Rukhsana Mehmood,17301-1047514-7,0321-1037626,"House 79, Kohat Road, Peshawar"
7,Bilal Saleem,17301-1055433-8,0336-1043897,"House 92, Bara Road, Peshawar"
8,Naveed Siddiqui,17301-1063352-9,0300-1050168,"House 105, GT Road Peshawar, Peshawar"
9,Bushra Iqbal,17301-1071271-1,0301-1056439,"House 118, Warsak Road, Peshawar"
10,Adnan Qureshi,17301-1079190-2,0311-1062710,"House 131, Jamrud Road, Peshawar"
11,Hamid Sultan,17301-1087109-3,0312-1068981,"House 144, Charsadda Road, Peshawar"
12,Lubna Mehmood,17301-1095028-4,0333-1075252,"House 157, Pishtakhara, Peshawar"
13,Pervaiz Afridi,17301-1102947-5,0345-1081523,"House 170, Badaber, Peshawar"
14,Waqar Shah,17301-1110866-6,0321-1087794,"House 183, Chamkani, Peshawar"
15,Gulshan Iqbal,17301-1118785-7,0336-1094065,"House 196, Sheikh Muhammadi, Peshawar"
16,Sajid Haider,17301-1126704-8,0300-1100336,"House 209, Tehkal Bala, Peshawar"
17,Kamran Bangash,17301-1134623-9,0301-1106607,"House 222, Nasir Bagh, Peshawar"
18,Mehwish Mehmood,17301-1142542-1,0311-1112878,"House 235, Board Bazaar, Peshawar"
19,Danish Khattak,17301-1150461-2,0312-1119149,"House 248, Firdous Bazaar, Peshawar"
20,Arshad Butt,17301-1158380-3,0333-1125420,"House 261, Qissa Khwani Bazaar, Peshawar"
21,Nadia Iqbal,17301-1166299-4,0345-1131691,"House 274, Hayatabad Phase 4, Peshawar"
22,Naeem Ahmed,17301-1174218-5,0321-1137962,"House 287, University Town, Peshawar"
23,Waseem Baig,17301-1182137-6,0336-1144233,"House 300, Gulbahar Colony, Peshawar"
24,Fatima Mehmood,17301-1190056-7,0300-1150504,"House 313, Regi Model Town, Peshawar"
25,Zahid Lodhi,17301-1197975-8,0301-1156775,"House 326, Dalazak Road, Peshawar"
26,Murad Khan,17301-1205894-9,0311-1163046,"House 339, Kohat Road, Peshawar"
27,Zara Iqbal,17301-1213813-1,0312-1169317,"House 352, Bara Road, Peshawar"
28,Taimur Raza,17301-1221732-2,0333-1175588,"House 365, GT Road Peshawar, Peshawar"
29,Saifullah Gill,17301-1229651-3,0345-1181859,"House 378, Warsak Road, Peshawar"
30,Saima Mehmood,17301-1237570-4,0321-1188130,"House 391, Jamrud Road, Peshawar"
31,Noman Yousaf,17301-1245489-5,0336-1194401,"House 404, Charsadda Road, Peshawar"
32,Yasir Ali,17301-1253408-6,0300-1200672,"House 417, Pishtakhara, Peshawar"
33,Shaista Iqbal,17301-1261327-7,0301-1206943,"House 430, Badaber, Peshawar"
34,Shehzad Malik,17301-1269246-8,0311-1213214,"House 443, Chamkani, Peshawar"
35,Iftikhar Hussain,17301-1277165-9,0312-1219485,"House 456, Sheikh Muhammadi, Peshawar"
36,Perveen Mehmood,17301-1285084-1,0333-1225756,"House 469, Tehkal Bala, Peshawar"
37,Nasir Saleem,17301-1293003-2,0345-1232027,"House 482, Nasir Bagh, Peshawar"
38,Zafar Siddiqui,17301-1300922-3,0321-1238298,"House 495, Board Bazaar, Peshawar"
39,Farzana Iqbal,17301-1308841-4,0336-1244569,"House 9, Firdous Bazaar, Peshawar"
40,Tariq Qureshi,17301-1316760-5,0300-1250840,"House 22, Qissa Khwani Bazaar, Peshawar"
41,Khalid Sultan,17301-1324679-6,0301-1257111,"House 35, Hayatabad Phase 4, Peshawar"
42,Sana Mehmood,17301-1332598-7,0311-1263382,"House 48, University Town, Peshawar"
43,Imran Afridi,17301-1340517-8,0312-1269653,"House 61, Gulbahar Colony, Peshawar"
44,Zubair Shah,17301-1348436-9,0333-1275924,"House 74, Regi Model Town, Peshawar"
45,Hina Iqbal,17301-1356355-1,0345-1282195,"House 87, Dalazak Road, Peshawar"
46,Asad Haider,17301-1364274-2,0321-1288466,"House 100, Kohat Road, Peshawar"
47,Bilal Bangash,17301-1372193-3,0336-1294737,"House 113, Bara Road, Peshawar"
48,Amna Mehmood,17301-1380112-4,0300-1301008,"House 126, GT Road Peshawar, Peshawar"
49,Usman Khattak,17301-1388031-5,0301-1307279,"House 139, Warsak Road, Peshawar"
50,Adnan Butt,17301-1395950-6,0311-1313550,"House 152, Jamrud Road, Peshawar"
51,Rabia Iqbal,17301-1403869-7,0312-1319821,"House 165, Charsadda Road, Peshawar"
52,Sohail Ahmed,17301-1411788-8,0333-1326092,"House 178, Pishtakhara, Peshawar"
53,Pervaiz Baig,17301-1419707-9,0345-1332363,"House 191, Badaber, Peshawar"
54,Naseem Mehmood,17301-1427626-1,0321-1338634,"House 204, Chamkani, Peshawar"
55,Junaid Lodhi,17301-1435545-2,0336-1344905,"House 217, Sheikh Muhammadi, Peshawar"
56,Sajid Khan,17301-1443464-3,0300-1351176,"House 230, Tehkal Bala, Peshawar"
57,Shazia Iqbal,17301-1451383-4,0301-1357447,"House 243, Nasir Bagh, Peshawar"
58,Faheem Raza,17301-1459302-5,0311-1363718,"House 256, Board Bazaar, Peshawar"
59,Danish Gill,17301-1467221-6,0312-1369989,"House 269, Firdous Bazaar, Peshawar"
60,Ayesha Mehmood,17301-1475140-7,0333-1376260,"House 282, Qissa Khwani Bazaar, Peshawar"
61,Rizwan Yousaf,17301-1483059-8,0345-1382531,"House 295, Hayatabad Phase 4, Peshawar"
62,Naeem Ali,17301-1490978-9,0321-1388802,"House 308, University Town, Peshawar"
63,Maryam Iqbal,17301-1498897-1,0336-1395073,"House 321, Gulbahar Colony, Peshawar"
64,Shahbaz Malik,17301-1506816-2,0300-1401344,"House 334, Regi Model Town, Peshawar"
65,Zahid Hussain,17301-1514735-3,0301-1407615,"House 347, Dalazak Road, Peshawar"
66,Rukhsana Mehmood,17301-1522654-4,0311-1413886,"House 360, Kohat Road, Peshawar"
67,Alamgir Saleem,17301-1530573-5,0312-1420157,"House 373, Bara Road, Peshawar"
68,Taimur Siddiqui,17301-1538492-6,0333-1426428,"House 386, GT Road Peshawar, Peshawar"
69,Bushra Iqbal,17301-1546411-7,0345-1432699,"House 399, Warsak Road, Peshawar"
70,Ijaz Qureshi,17301-1554330-8,0321-1438970,"House 412, Jamrud Road, Peshawar"
71,Noman Sultan,17301-1562249-9,0336-1445241,"House 425, Charsadda Road, Peshawar"
72,Lubna Mehmood,17301-1570168-1,0300-1451512,"House 438, Pishtakhara, Peshawar"
73,Aamir Afridi,17301-1578087-2,0301-1457783,"House 451, Badaber, Peshawar"
74,Shehzad Shah,17301-1586006-3,0311-1464054,"House 464, Chamkani, Peshawar"
75,Gulshan Iqbal,17301-1593925-4,0312-1470325,"House 477, Sheikh Muhammadi, Peshawar"
76,Tahir Haider,17301-1601844-5,0333-1476596,"House 490, Tehkal Bala, Peshawar"
77,Nasir Bangash,17301-1609763-6,0345-1482867,"House 4, Nasir Bagh, Peshawar"
78,Mehwish Mehmood,17301-1617682-7,0321-1489138,"House 17, Board Bazaar, Peshawar"
79,Liaqat Khattak,17301-1625601-8,0336-1495409,"House 30, Firdous Bazaar, Peshawar"
80,Tariq Butt,17301-1633520-9,0300-1501680,"House 43, Qissa Khwani Bazaar, Peshawar"
81,Nadia Iqbal,17301-1641439-1,0301-1507951,"House 56, Hayatabad Phase 4, Peshawar"
82,Rashid Ahmed,17301-1649358-2,0311-1514222,"House 69, University Town, Peshawar"
83,Imran Baig,17301-1657277-3,0312-1520493,"House 82, Gulbahar Colony, Peshawar"
84,Fatima Mehmood,17301-1665196-4,0333-1526764,"House 95, Regi Model Town, Peshawar"
85,Fawad Lodhi,17301-1673115-5,0345-1533035,"House 108, Dalazak Road, Peshawar"
86,Asad Khan,17301-1681034-6,0321-1539306,"House 121, Kohat Road, Peshawar"
87,Zara Iqbal,17301-1688953-7,0336-1545577,"House 134, Bara Road, Peshawar"
88,Naveed Raza,17301-1696872-8,0300-1551848,"House 147, GT Road Peshawar, Peshawar"
89,Usman Gill,17301-1704791-9,0301-1558119,"House 160, Warsak Road, Peshawar"
90,Saima Mehmood,17301-1712710-1,0311-1564390,"House 173, Jamrud Road, Peshawar"
91,Hamid Yousaf,17301-1720629-2,0312-1570661,"House 186, Charsadda Road, Peshawar"
92,Sohail Ali,17301-1728548-3,0333-1576932,"House 199, Pishtakhara, Peshawar"
93,Shaista Iqbal,17301-1736467-4,0345-1583203,"House 212, Badaber, Peshawar"
94,Waqar Malik,17301-1744386-5,0321-1589474,"House 225, Chamkani, Peshawar"
95,Junaid Hussain,17301-1752305-6,0336-1595745,"House 238, Sheikh Muhammadi, Peshawar"
96,Perveen Mehmood,17301-1760224-7,0300-1602016,"House 251, Tehkal Bala, Peshawar"
97,Kamran Saleem,17301-1768143-8,0301-1608287,"House 264, Nasir Bagh, Peshawar"
98,Faheem Siddiqui,17301-1776062-9,0311-1614558,"House 277, Board Bazaar, Peshawar"
99,Farzana Iqbal,17301-1783981-1,0312-1620829,"House 290, Firdous Bazaar, Peshawar"
100,Arshad Qureshi,17301-1791900-2,0333-1627100,"House 303, Qissa Khwani Bazaar, Peshawar"
